"paper_title","year","venue","task_type","problem_definition","dataset","method","metrics","是否研究工具选择错误","是否研究参数幻构","是否研究澄清行为","是否有因果解释","是否分析内部表征","局限性","你可借鉴的部分"
"API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs","2023","EMNLP 2023","tool benchmark","评估和训练 tool-augmented LLM 的 API 调用能力","API-Bank runnable benchmark 与 training corpus","构建可执行 benchmark、训练数据和 Lynx 模型","API call accuracy,response quality,retrieval/planning metrics","是","部分","否","否","否","更偏综合 benchmark,对 under-specified 场景和机制解释不足","可借鉴工具 schema 组织、可执行 runner、benchmark 格式"
"ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs","2024","ICLR 2024","tool learning / benchmark","让模型掌握大规模真实 API","ToolBench","构建 ToolBench、API instruction tuning、tool-use training","tool-use success rate,benchmark metrics","是","部分","否","否","否","规模大但更偏能力提升,不是失败机制分析","可借鉴大规模工具库构造思路和工具分组方式"
"MetaTool Benchmark for Large Language Models: Deciding Whether to Use Tools and Which to Use","2024","ICLR 2024","tool benchmark","研究模型是否知道该不该用工具以及该用哪个工具","MetaTool benchmark / ToolE","构建工具使用意识与工具选择 benchmark","tool usage awareness,tool selection accuracy","是","否","部分","否","否","不研究参数幻构和因果机制","可借鉴工具选择任务定义、相似工具设置、是否应调用工具的标签思路"
"ToolTalk: Evaluating Tool-Usage in a Conversational Setting","2023","arXiv preprint","conversational tool benchmark","在对话场景下评估工具使用","ToolTalk benchmark","多轮对话环境中的 tool-use evaluation","task success,tool choice quality","是","部分","部分","否","否","更偏对话式 benchmark,解释性较弱","可借鉴多轮 context 设计和对话级 episode 表示"
"StableToolBench: Towards Stable Large-Scale Benchmarking on Tool Learning of Large Language Models","2024","Findings of ACL 2024","benchmark infrastructure","解决大规模 tool benchmark 的稳定性与可复现性问题","StableToolBench","引入 API simulator、cache 与 evaluator 系统","benchmark stability,success rate","是","部分","否","否","否","关注 benchmark 稳定性而非错误成因","可借鉴运行元信息记录、环境冻结、结果可复现规范"
"CToolEval: Evaluating Conversational Tool Use Capability of Large Language Models","2024","Findings of ACL 2024","conversational benchmark","评估 LLM 在对话中使用工具的能力","CToolEval","对话任务、工具调用与结果评估","conversation success,tool-use quality","是","部分","部分","否","否","没有形成机制性失败解释","可借鉴会话级 task 设计与 evaluator 维度"
"ToolBeHonest: A Multi-level Hallucination Diagnostic Benchmark for Tool-Augmented Large Language Models","2024","EMNLP 2024","hallucination benchmark","诊断 tool-augmented LLM 的 hallucination","ToolBeHonest diagnostic benchmark","从 solvability、planning、missing tool 等层级诊断 hallucination","hallucination rate,stage-wise diagnostic scores","部分","是","部分","否","否","重点是诊断而非因果解释","可借鉴细粒度错误标签与 should-clarify-but-called 的问题化"
"ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for Tool Use Capabilities of Large Language Models","2024","arXiv preprint","interactive benchmark","在 stateful interactive 环境中评估 tool use","ToolSandbox","状态化环境、交互式任务与评测","interactive success,tool-use metrics","是","部分","部分","否","否","更偏评测平台,对变量机制分析不足","可借鉴状态化 episode 表示和交互式任务建模"
"SEAL-TOOLS: Self-Play Benchmarking for Tool-Integrated Large Language Models","2024","arXiv preprint","benchmark","评估工具集成模型的可靠性与泛化","SEAL-TOOLS benchmark","self-play benchmarking","task success,robustness metrics","是","部分","部分","否","否","更偏 benchmark 设计,未深入参数幻构机制","可借鉴自博弈式 stress test 思路"
"Quality Matters: Evaluating Synthetic Data for Tool-Using LLMs","2024","EMNLP 2024","data quality study","研究 synthetic data 质量对 tool-using LLM 的影响","多组合成数据集","比较不同 synthetic data 方案对工具能力的影响","downstream tool-use metrics","部分","部分","否","否","否","更偏训练数据质量,不是失败机制论文","可借鉴任务生成质量控制和数据构造对结果影响的讨论"
"Granite-Function Calling Model: Introducing Function Calling Abilities via Multi-task Learning of Granular Tasks","2024","EMNLP Industry 2024","function calling model","通过多任务学习提升 function calling","Granite function calling training data","多任务训练与 granular task decomposition","function calling accuracy","部分","部分","否","否","否","更偏能力增强,不是错误分析","可借鉴将复杂调用拆成粒度更细的训练/评测任务"
"InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents","2024","arXiv preprint","security benchmark","研究 tool-integrated agents 在间接 prompt injection 下的脆弱性","InjecAgent benchmark","构建 injection benchmark 与 defense evaluation","attack success rate,defense success rate","是","部分","部分","否","否","更偏攻击面,没有统一错误标签和因果特征","可借鉴误导干扰型任务设计和上下文污染特征"
"AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents","2024","arXiv preprint","security benchmark","在真实工具环境中评估 injection attacks 和 defenses","AgentDojo","动态环境、真实任务与 security test cases","attack success,defense robustness","是","部分","部分","否","否","主要评安全,不是 tool failure 机制解释","可借鉴安全干扰任务、真实工具环境和防御评测思路"
"Not What We've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection","2023","arXiv preprint","security analysis","说明真实 LLM-integrated 应用可被间接 prompt injection 攻击","real-world application case studies","攻击构造与案例分析","attack success / qualitative impact","是","部分","部分","否","否","更多是攻击案例,缺少系统 benchmark 和机制变量","可借鉴为什么要把外部上下文污染视作工具错误来源"
"MASSIVE-Agents: A Benchmark for Multilingual Function-Calling in 52 Languages","2025","Findings of EMNLP 2025","multilingual benchmark","评估多语言 function-calling","MASSIVE-Agents","多语言 function-calling benchmark","function calling accuracy by language","是","部分","部分","否","否","重点是语言覆盖,对解释和防御不足","可借鉴多语言鲁棒性实验设计"
"Benchmarking Failures in Tool-Augmented Language Models","2025","NAACL 2025","failure benchmark","系统评估 TaLM 在 under-specified queries 与 unavailable tools 下的失败","failure benchmark for TaLMs","构建失败导向 benchmark","failure rate,under-specified/unavailable-tool metrics","是","是","是","否","否","虽聚焦失败,但未做因果结构学习","可借鉴 under-specified 任务、should clarify 标签和 failure-centric evaluation"
"ToolHaystack: Stress-Testing Tool-Augmented Language Models in Realistic Long-Term Interactions","2025","Findings of EMNLP 2025","stress benchmark","在长期交互中 stress-test tool-augmented LLM","ToolHaystack","长程交互 stress testing","long-horizon success,robustness","是","部分","部分","否","否","更偏长程 stress test,单步错误机制拆解不够","可借鉴 realistic long-term interaction 的压力测试思路"
"On the Robustness of Agentic Function Calling","2025","arXiv preprint","robustness analysis","研究 agentic function calling 在复杂扰动下的稳健性","agentic function-calling benchmark","robustness-oriented evaluation","robustness / accuracy under perturbation","是","部分","部分","否","否","没有进入因果图与表示边界","可借鉴 function calling robustness 维度与扰动设计"
"Large Language Models as Zero-shot Dialogue State Tracker through Function Calling","2024","ACL 2024","application study","把 function calling 用于零样本 DST","DST benchmarks","利用 function calling 完成结构化状态抽取","joint goal accuracy,slot metrics","否","部分","部分","否","否","应用导向,不是工具失败论文","可借鉴 function calling 输出结构化槽位的 schema 设计"
"Tool learning with large language models: a survey","2025","Frontiers of Computer Science 2025","survey","综述 LLM tool learning / tool use 方向","survey paper","文献综述与 taxonomy","N/A","部分","部分","部分","否","否","综述不提供新 benchmark 或机制实验","可借鉴相关工作结构与任务分类"
"Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability","2025","JMLR 2025","interpretability theory","为 mechanistic interpretability 提供因果抽象理论","theoretical paper","因果抽象理论框架","N/A","否","否","否","是","是","不针对 tool use,偏理论","可借鉴因果抽象与解释主张的理论边界"
"Finding Alignments Between Interpretable Causal Variables and Distributed Neural Representations","2024","Proceedings of The 3rd Conference on Causal Learning and Reasoning","representation / causality","研究可解释因果变量与分布式神经表示之间的对齐","synthetic and interpretability settings","Distributed Alignment Search","alignment quality / causal correspondence","否","否","否","是","是","不直接研究 LLM tool use","可借鉴表示与可解释变量对齐的思想"
"Causality is Key for Interpretability Claims to Generalise","2026","arXiv preprint","interpretability critique","强调可解释性结论若要泛化需要因果证据","conceptual / methodological paper","从因果视角审视解释主张","N/A","否","否","否","是","部分","不提供 tool-calling 实验","可借鉴为何不能把相关性图直接写成强解释结论"
"Do Llamas Work in English? On the Latent Language of Multilingual Transformers","2024","ACL 2024","representation analysis","研究多语言模型的 latent language 与内部表示","multilingual transformer analysis","表示空间分析","representation / language separation metrics","否","否","否","否","是","不直接针对工具调用","可借鉴多语言表示漂移和边界分析思路"
